candidate_id,study_group,pa_paper_label,pa_specification,control_label,selection_pa,selection_script_locator,standardized_csv_locator,pa_table_or_text_locator,source_input,ivb,beta_long,se_beta,ivb_over_se,ratio_available,ratio_denominator,validity_for_current_question,rework_needed
C01,Claassen,Claassen (FE),FE,Log GDP p.c.,yes,"ivb_paper_pa.Rmd:141-143; compute_standardized_ivb.R:53-68","replication/standardized_ivb_metrics.csv:7","ivb_paper_pa.Rmd:646 (14-count text); not a displayed application row","candidate_papers/claassen_2020/Support_democracy_ajps_correct.tab; replication/claassen_replication_ivb.R","-0.0164630209657078","-0.0158105393041455","0.215625828301355","-0.076349948869295",true,11,"Observed point shift; descriptive scale comparison only; no paired CI or causal classification","Audit common sample/FE and timing; retain selected universe label"
C02,Leipziger,Leipziger (SEI),SEI,Log GDP p.c.,yes,"ivb_paper_pa.Rmd:141-144; compute_standardized_ivb.R:96-114","replication/standardized_ivb_metrics.csv:11","Table 7 generated by ivb_paper_pa.Rmd:698-729; text:646,648-732","candidate_papers/leipziger_2024/Country-level_dataset.tab; replication/leipziger_replication_ivb.R","0.00558194683214894","-0.0351543978963803","0.0117390944933083","0.475500630421782",true,11,"Displayed detailed case; timing and causal role of GDP are explicitly ambiguous; shift remains descriptive","Complete timing/source audit and any paired Delta interval before inference"
C03,Leipziger,Leipziger (SEI ext.),SEI extended,Civil war,yes,"ivb_paper_pa.Rmd:144; compute_standardized_ivb.R:116-138","replication/standardized_ivb_metrics.csv:16","text count only: ivb_paper_pa.Rmd:646; no separate displayed row","candidate_papers/leipziger_2024/Country-level_dataset.tab; replication/leipziger_replication_ivb.R","0.000230518286532325","-0.0311330642836893","0.0116584530802561","0.019772630635081",true,11,"Selected extended specification point shift; no separate PA narrative or causal classification","Audit extended common sample and classify timing without using magnitude"
C04,Leipziger,Leipziger (SEI ext.),SEI extended,GDP growth,yes,"ivb_paper_pa.Rmd:144; compute_standardized_ivb.R:116-138","replication/standardized_ivb_metrics.csv:18","text count only: ivb_paper_pa.Rmd:646; no separate displayed row","candidate_papers/leipziger_2024/Country-level_dataset.tab; replication/leipziger_replication_ivb.R","-0.0000128803125737657","-0.0311330642836893","0.0116584530802561","-0.00110480459844016",true,11,"Selected extended specification point shift; descriptive only and not a separate CET demonstration","Audit extended sample, lag construction and role classification"
C05,Blair et al.,Blair et al.,six-control peacekeeping model,Foreign Aid,yes,"ivb_paper_pa.Rmd:145; compute_standardized_ivb.R:141-210","replication/standardized_ivb_metrics.csv:20","text count only: ivb_paper_pa.Rmd:646; no separate displayed row","candidate_papers/peacekeeping/data_replication.dta; replication/peacekeeping_replication_ivb.R","0.00289364206409497","0.118366241168706","0.0393097129811173","0.0736113760353568",true,11,"Selected point shift from a purposive replication; no paired CI or causal role adjudication","Audit imputation/lags/clustering and timing before interpretation"
C06,Blair et al.,Blair et al.,six-control peacekeeping model,GDP per capita,yes,"ivb_paper_pa.Rmd:145; compute_standardized_ivb.R:141-210","replication/standardized_ivb_metrics.csv:21","text count only: ivb_paper_pa.Rmd:646; no separate displayed row","candidate_papers/peacekeeping/data_replication.dta; replication/peacekeeping_replication_ivb.R","0.00553395310343976","0.118366241168706","0.0393097129811173","0.140778262769256",true,11,"Selected point shift; descriptive scale only and no unique causal interpretation","Audit imputation/lags/clustering and timing before interpretation"
C07,Blair et al.,Blair et al.,six-control peacekeeping model,Refugees/IDPs,yes,"ivb_paper_pa.Rmd:145; compute_standardized_ivb.R:141-210","replication/standardized_ivb_metrics.csv:22","text count only: ivb_paper_pa.Rmd:646; no separate displayed row","candidate_papers/peacekeeping/data_replication.dta; replication/peacekeeping_replication_ivb.R","0.00498734883991405","0.118366241168706","0.0393097129811173","0.126873193968874",true,11,"Selected point shift; descriptive scale only and no unique causal interpretation","Audit imputation/lags/clustering and timing before interpretation"
C08,Albers et al.,Albers et al.,fiscal-state model,Hyperinflation,yes,"ivb_paper_pa.Rmd:146; compute_standardized_ivb.R:213-255","replication/standardized_ivb_metrics.csv:26","text count only: ivb_paper_pa.Rmd:646; no separate displayed row","candidate_papers/fiscal_state_ivb_results.csv; candidate_papers/fiscal_state_africa/FISCAL_PANEL_V4.tab; replication/fiscal_state_replication_ivb.R","0.0288326648192954","-0.318940371263157",NA,NA,false,NA,"Point shift exists but Albers SE is NA in the standardized CSV; cannot enter IVB/SE summary","Reproduce/locate the long-model SE and record denominator if restored"
C09,Albers et al.,Albers et al.,fiscal-state model,GDP growth (YoY),yes,"ivb_paper_pa.Rmd:146; compute_standardized_ivb.R:213-255","replication/standardized_ivb_metrics.csv:28","text count only: ivb_paper_pa.Rmd:646; no separate displayed row","candidate_papers/fiscal_state_ivb_results.csv; candidate_papers/fiscal_state_africa/FISCAL_PANEL_V4.tab; replication/fiscal_state_replication_ivb.R","0.0163066957235757","-0.318940371263157",NA,NA,false,NA,"Point shift exists but Albers SE is NA in the standardized CSV; cannot enter IVB/SE summary","Reproduce/locate the long-model SE and record denominator if restored"
C10,Albers et al.,Albers et al.,fiscal-state model,Liberal democracy,yes,"ivb_paper_pa.Rmd:146; compute_standardized_ivb.R:213-255","replication/standardized_ivb_metrics.csv:30","text count only: ivb_paper_pa.Rmd:646; no separate displayed row","candidate_papers/fiscal_state_ivb_results.csv; candidate_papers/fiscal_state_africa/FISCAL_PANEL_V4.tab; replication/fiscal_state_replication_ivb.R","-0.0131211424258335","-0.318940371263157",NA,NA,false,NA,"Point shift exists but Albers SE is NA in the standardized CSV; cannot enter IVB/SE summary","Reproduce/locate the long-model SE and record denominator if restored"
C11,Rogowski,Rogowski et al.,four-control forward-growth model,Log GDP p.c.,yes,"ivb_paper_pa.Rmd:147; ivb_paper_pa.Rmd:752-796; compute_standardized_ivb.R:258-290","replication/standardized_ivb_metrics.csv:37","Table 8 generated by ivb_paper_pa.Rmd:799-820; interpretation:822","candidate_papers/post_office_2022/country_panel.tab; replication/candidate_papers/post_office_2022/main_analyses.do; ivb_paper_pa.Rmd:738-767","0.0114845054258556","0.0198173367645746","0.00544910668225717","2.1075941609384",true,11,"Displayed detailed case; largest endpoint-SE scale ratio, but timing/causal role unresolved and shift is descriptive","Build concurrent DAGs, verify five-year timing and audit clustered endpoint/sample"
C12,Ballard-Rosa,Ballard-Rosa et al.,left-wing executive model,Inflation crisis,yes,"ivb_paper_pa.Rmd:148; compute_standardized_ivb.R:294-350","replication/standardized_ivb_metrics.csv:54","text count only: ivb_paper_pa.Rmd:646; no separate displayed row","candidate_papers/ballard_rosa_2022/Coming_to_Terms_data.tab; candidate_papers/ballard_rosa_2022/IO replication.do; replication/compute_standardized_ivb.R:297-350","-0.0124706588055553","0.109341228732114","0.0442619234074855","-0.281746879609083",true,11,"Selected point shift from purposive output; no paired CI or causal role adjudication","Audit OECD exclusion, 12-month lags, clustering and timing"
C13,Ballard-Rosa,Ballard-Rosa et al.,left-wing executive model,IMF program,yes,"ivb_paper_pa.Rmd:148; compute_standardized_ivb.R:294-350","replication/standardized_ivb_metrics.csv:52","text count only: ivb_paper_pa.Rmd:646; no separate displayed row","candidate_papers/ballard_rosa_2022/Coming_to_Terms_data.tab; candidate_papers/ballard_rosa_2022/IO replication.do; replication/compute_standardized_ivb.R:297-350","-0.00860489595698856","0.109341228732114","0.0442619234074872","-0.194408541123927",true,11,"Selected point shift from purposive output; no paired CI or causal role adjudication","Audit OECD exclusion, 12-month lags, clustering and timing"
C14,Ballard-Rosa,Ballard-Rosa et al.,left-wing executive model,Sov. debt crisis,yes,"ivb_paper_pa.Rmd:148; compute_standardized_ivb.R:294-350","replication/standardized_ivb_metrics.csv:55","text count only: ivb_paper_pa.Rmd:646; no separate displayed row","candidate_papers/ballard_rosa_2022/Coming_to_Terms_data.tab; candidate_papers/ballard_rosa_2022/IO replication.do; replication/compute_standardized_ivb.R:297-350","-0.00384757679664251","0.109341228732114","0.0442619234074821","-0.0869274649730226",true,11,"Selected point shift from purposive output; no paired CI or causal role adjudication","Audit OECD exclusion, 12-month lags, clustering and timing"
