claim_id,dimension,claim_or_capacity,known_result,specific_gap,proposed_addition,evidence_required,source_localizers,assessment,evidence_type
L01,scalar_algebra,"Exact shift between nested linear specifications","Gelbach defines base-minus-full and derives dhat=(X1'X1)^-1 X1'X2 b2hat; for focal D this equals theta'pi. The manuscript uses full-minus-base, hence the negative sign.","No mathematical gap is established by the scalar identity or by naming the shift.","Embed the known identity in an explicit TSCS decision protocol.","State and prove equivalence under identical rows, regressors, weights and rank; identify a separate result if mathematical novelty is claimed.","Gelbach b1x2.sthlp:120-168; ivb_paper_pa.Rmd:391-406",equivalent_core,fact_plus_algebraic_mapping
L02,multivariate_algebra,"Joint decomposition for several possibly correlated controls","Gelbach permits multivariate X2, mutually exclusive control groups and conditional components that sum exactly to the total base-full shift.","Vector controls and correlation among them do not establish a new result.","Organize groups by defensible temporal/causal roles.","Show a theorem or decision capacity that cannot be reproduced by grouping the same variables in Gelbach.","Gelbach b1x2.sthlp:164-203; ivb_paper_pa.Rmd:408-420",equivalent_core,fact
L03,allocation,"Order dependence, leave-one-out and Shapley summaries","Sequential increments can be path dependent; Gelbach already replaces sequential addition with conditional group components estimated relative to the full model and summing to the endpoint. Leave-one-out and Shapley answer other allocation questions.","No decision benefit of LOO or Shapley over the known conditional allocation has been shown.","Report endpoint plus a prespecified allocation matched to a concrete decision.","Define the loss/action each allocation serves and compare it with Gelbach group components using the same candidate set.","Gelbach b1x2.sthlp:35-42,180-203; ivb_paper_pa.Rmd:417-422",known_alternatives_no_increment_shown,fact_plus_inference
L04,sample_definition,"Common observations across specifications","b1x2 explicitly imposes the same sample in base and full models.","Common-sample discipline is necessary but not new.","Make the invariant auditable in the TSCS workflow.","Demonstrate enforcement across nested and union models and report row hashes/counts; characterize this as implementation discipline.","Gelbach b1x2.sthlp:242-251; ivb_paper_pa.Rmd:426-436",known_requirement,fact
L05,covariance,"Uncertainty for the paired specification shift","b1x2 calculates a consistent covariance matrix, offers heterocedasticity-robust and cluster VCEs, and by default includes uncertainty in b2, uncertainty in Gamma and their cross terms.","A new inferential result is not established by saying the two coefficients or product factors are dependent.","Use paired unit bootstrap and/or stacked cluster sandwich for the TSCS implementation.","Derive equivalence or a precise difference in target/asymptotics/dependence class; verify coverage against the strongest configured comparator.","Gelbach b1x2.sthlp:35-65,79-82,225-236; b1x2.ado:731-805,920-959; ivb_paper_pa.Rmd:424-438",largely_equivalent_difference_unproven,fact_plus_inference
L06,covariance_limitation,"Meaning of the b1x2 total-change warning","The code forms component Covdelta and transforms it with an aggregation matrix R. It then warns that the covariance displayed between __TC and other reported components is zero and incorrect.","The reporting warning does not imply absence of component covariances or product cross terms.","If needed, repair/report the particular total-to-component covariance explicitly.","Identify the exact estimand and matrix entry absent from b1x2; do not generalize the display warning into a claim that Gelbach ignores covariance.","Gelbach b1x2.ado:1035-1056,1194-1233",localized_software_reporting_issue,fact
L07,computational_scope,"OLS, weights and endogenous regressors","b1x2 version 4.1.0 accepts analytic/frequency/importance weights and supports IV/2SLS, robust and clustered inference.","The manuscript's stated unweighted-OLS proposition is computationally narrower.","Provide a TSCS-oriented implementation with causal-clock metadata.","Demonstrate a computational capability or audit invariant beyond the existing command; avoid claiming broader estimator coverage without implementation.","Gelbach b1x2.ado:1-24; b1x2.sthlp:73-107",existing_tool_broader_on_estimators,fact
L08,causal_classification,"Interpret a coefficient shift as confounding, overcontrol, collider bias or estimand change","Cinelli, Forney and Pearl show that control status depends on the graph, target and conditioning set; pre/post labels alone are insufficient and include/omit can both fail.","The observed sign and magnitude of Delta cannot identify the causal role.","Require a DAG, target estimand and explicit classification before causal language.","Construct observationally compatible cases with the same shift and different correct actions; ensure the procedure returns ambiguity when structure is unavailable.","Cinelli et al. 2022:1-14,20-30; ivb_paper_pa.Rmd:385-389,440-444",known_causal_logic_operationalization_candidate,fact_plus_inference
L09,temporal_information,"Use timing and pre-exposure history to classify panel controls","Blackwell-Glynn formalize treatment histories and sequential ignorability; Imai-Kim expose dynamic restrictions behind fixed effects; Bellemare et al. distinguish substantive/statistical lags from lags used as an endogeneity fix.","A timestamp checklist synthesizes known information but no unique result follows yet.","Bind estimand, within-period clock, history H^- and admissible model comparison in one auditable protocol.","Give the comparator the same DAG/timing/history and show a prespecified decision it cannot reproduce; otherwise classify the gain as organization.","Blackwell-Glynn 2018:1067-1075; Imai-Kim 2019:467-474; Bellemare et al. 2017:949-954; plan.md:121-123",operational_candidate_not_distinguished,fact_plus_inference
L10,CET_ADL,"ADL identifies a contemporaneous effect under selection on observables","Blackwell-Glynn Eq.17 shows that, under sequential ignorability, correct functional form and their error condition, an ADL with lagged outcome/treatment and current/lagged covariates consistently estimates the contemporaneous coefficient beta1; their post-treatment problem directly compromises lagged effects when current covariates respond to past treatment.","The basic CET-via-ADL result is known; the addition made by ADL plus FE and its exact restrictions are not yet isolated.","Develop a conditional ADL+FE baseline with a defended history and explicit support/estimation conditions.","Derive conditions reconciling selection-on-observables with unit and time FE; state what extends rather than restates Eq.17.","Blackwell-Glynn 2018:1071-1075, especially Eq.17 p.1073; ivb_paper_pa.Rmd:446-465",known_baseline_extension_unproven,fact_plus_inference
L11,fixed_effects,"Unit fixed effects with dynamic treatment and outcomes","Imai-Kim 2019 show that the standard causal UFE model restricts effects of past treatment on current outcome and feedback from past outcome to current treatment; adding lags only partly relaxes conditions and requires substantive lag selection.","Including FE and lags does not itself justify the stated contemporaneous target.","State a model/estimand under which Y_{t-1}->D_t feedback, sufficient observed history and FE coexist.","Provide a coherent identification derivation and distinguish selection on observables from the standard UFE justification.","Imai-Kim 2019:467-475; ivb_paper_pa.Rmd:455-470",assumptions_need_reconciliation,fact_plus_inference
L12,two_way_FE,"Projection target, additivity and weights in two-way FE","Imai-Kim 2021 show that 2FE relies on linear additive/separable structure, is not general nonparametric joint adjustment, and may use comparisons/weights that do not identify the intended effect.","An exact coefficient shift can compare projection coefficients with different causal meanings.","Audit the estimand and implicit comparisons before interpreting the shift.","State the population target and relevant weights for each model; demonstrate that the compared coefficients target the same causal quantity under declared assumptions.","Imai-Kim 2021:405-413; ivb_paper_pa.Rmd:467 onward",known_limitation_requires_audit,fact_plus_inference
L13,lagged_controls,"Lagging a covariate as a response to endogeneity","Bellemare-Masaki-Pepinsky show that lagging moves the endogeneity channel and requires serial correlation plus no relevant dynamics among unobservables, or no original endogeneity; persistent U can leave serious bias.","A variable's t-1 index and a defended timestamp do not solve persistent unobserved confounding.","Return an explicit inconclusive/change-design outcome when the conditioned history is insufficient.","Include a case with persistent unobserved dynamics and show that the procedure does not recommend a lagged-control cure from timing alone.","Bellemare et al. 2017:949-960; Imai-Kim 2019:471-474",known_limitation,fact_plus_inference
L14,dynamic_falsification,"Tests involving current X and lagged Y","Bellemare et al. propose testing X_t alongside X_{t-1} and testing Y_{t-1} alongside X_t to falsify particular no-dynamics/reverse-causality scenarios.","These checks are not new and non-rejection does not confirm identification.","Incorporate them, if useful, as cited falsification checks within the protocol.","Prespecify the scenario each test can reject, report power limits and avoid affirmative causal interpretation of non-rejection.","Bellemare et al. 2017:961",known_tests,fact
L15,substitution_comparison,"Move a candidate from lagged state L to contemporary Z","B=(D,W,L) and C=(D,W,Z) are nonnested, but both nest in U=(D,W,L,Z). Two Gelbach/FWL shifts relative to U reproduce beta_C-beta_B exactly under a common sample.","No new algebra follows from calling the comparison a move rather than two nested shifts.","Use the two-channel display to reveal cancellation and attach timing roles.","Implement the B,C,U comparator with identical inputs and find a decision/result the proposed procedure uniquely supplies; equivalence is the required conclusion if none exists.","Algebraic construction in reader_report.md section 1; Gelbach b1x2.sthlp:131-203; ivb_paper_pa.Rmd:446-451",strong_comparator_reproduces_core,derived_equivalence
L16,incremental_value,"Integrated TSCS specification-shift workflow","The component tools are known: conditional decomposition, causal-control classification, dynamic identification restrictions and lag cautions.","No verified capacity or decision gain beyond the fully informed comparator has yet been exhibited.","An auditable operational protocol may reduce applied errors or organize evidence.","Use a frozen task with actions/loss criterion; give both procedures the same information; show a reproducible distinguishing outcome. If the gain is comprehension/adoption, collect evidence suited to that claim.","Gelbach sources; Cinelli et al. 2022; Blackwell-Glynn 2018; Imai-Kim 2019/2021; Bellemare et al. 2017; plan.md:119-130",operational_candidate_unproven,synthesis_inference
L17,novelty_boundary,"Claim originality of a named and estimable decomposition","Gelbach full paper remains unavailable, but the author's official help and code already implement and describe the named estimable base-full decomposition and its covariance.","Full-text coverage is missing and the observed core overlaps prior work.","Narrow the claim to a demonstrated operational/applied contribution or develop a distinct formal capacity.","Obtain and read Gelbach 2016 in full before any novelty statement; revise the comparison using the full source.","ivb_paper_pa.Rmd:184-192,387-444; Gelbach b1x2.sthlp:35-65,114-203; acquisition_log.md Gelbach section",not_cleared_for_novelty,fact_plus_inference
