task_id,plan_locator,objective,existing_files_or_outputs,tests_observed_in_records,status,current_validity,rework_needed
T01,"2026-07-10_referee_feedback_revision_plan.md:40-48","Matriz rastreável de comentário, validade, evidência, ação, arquivo e status","quality_reports/referee_feedback_response_matrix.csv; quality_reports/referee_feedback_response_matrix_note.md; quality_reports/adjudication/ivb-pa-refine/5375d3c27ac1/adjudication_round1.{md,json}","Matriz registra 35 linhas únicas para as seções 5, 8, 9, 10 e 12; adjudicação registra cinco comentários gerais e 12 detalhados; nenhum rerun desta tarefa","recorded_matrix","Válida como índice de cobertura e ponto de entrada; a matriz não substitui a verificação de bytes nem decide causalidade","Conferir a correspondência final entre cada ID, fonte e ação quando a revisão for implementada; manter a distinção entre comentário e solução"
T02,"2026-07-10_referee_feedback_revision_plan.md:50-59","Separar deslocamento de especificação Delta_Z, deslocamento amostral e viés causal","derivations/specification_shift_vs_ivb.Rmd; derivations/specification_shift_vs_ivb.pdf; derivations/ivb_derivation.Rmd/pdf; ivb_paper_pa.Rmd:826-830","Nota descreve verificações algébricas, substituição independente, forma matricial, unidades, reescala e componente nulo; registros são documentais, não execução nesta passagem","implemented_note; validation_record_only","Válida para a distinção conceitual e identidade FWL; a validade causal continua condicionada a DAG, timing e hipóteses","Reconciliar a nota formal com a derivação ADL+FE e manter busca de linguagem causal dependente das hipóteses; revisão independente específica da derivação ainda é requisito do plano"
T03,"2026-07-10_referee_feedback_revision_plan.md:61-69","Definir CET e ordem causal dentro do período","quality_reports/cet_timing_checklist.md; quality_reports/cet_application_timing_audit.csv; ivb_paper_pa.Rmd:631-638,648-650,734-736","Checklist aplicado a Leipziger e Rogowski e classifica timing como conhecido, plausível ou ambíguo; registros não foram reexecutados","implemented_documentary","Válida para explicitar o relógio causal e limitar as duas aplicações; não prova datas intra-anuais","Preservar fontes de datas, completar documentação de antecipação/agregação e usar o checklist na revisão causal"
T04,"2026-07-10_referee_feedback_revision_plan.md:71-82","Derivar identificação do CET no benchmark ADL+FE e separar erro finito de identificação","derivations/adl_cet_identification_conditions.Rmd; derivations/adl_cet_identification_conditions.pdf; derivations/ivb_derivacoes_proposicoes_1_2.Rmd/pdf","Derivação existente inclui efeitos fixos e quadro de identificação; contrato/adjudicação apontam necessidade de reconciliar o shorthand de exchangeability com FE; não houve revisão causal nova nesta passagem","partial_formal_derivation","Válida como rascunho técnico e localização das hipóteses; não sustenta sozinha uma afirmação geral sobre ADL+FE","Revisão causal independente e checagem contra referências do plano; harmonizar proposição, prova, timing, suporte, T finito e feedback"
T05,"2026-07-10_referee_feedback_revision_plan.md:84-94","Substituir DAGs genéricos por três DAGs dinâmicos","derivations/dynamic_dags.md; derivations/dynamic_dags.pdf; ivb_paper_pa.Rmd (blocos TikZ e Figuras); quality_reports/argument_contracts/ivb-pa-refine/5375d3c27ac1/section_reads/section_06_applications.md","Nota contém três mecanismos e d-separation textual; não foram localizados três arquivos TikZ autônomos nem revisão independente específica","partial_note_embedded_dags","Válida para compreender os mecanismos já desenhados; entregáveis reproduzíveis e conferência gráfica ainda incompletos","Extrair/organizar três fontes TikZ, conferir todos os caminhos e obter revisão independente antes de substituir a figura"
T06,"2026-07-10_referee_feedback_revision_plan.md:96-105","Neutralizar rótulos safe/bad/dominates e tornar a regra condicional","ivb_paper_pa.Rmd:631-642,826-832; quality_reports/adjudication/ivb-pa-refine/5375d3c27ac1/adjudication_round1.md","Adjudicação registra neutralização parcial e o manuscrito usa specification shift e baseline condicional em trechos atuais; não há tabela de scope conditions dedicada nem busca registrada nesta passagem","partial_text_integration","Válida para o enquadramento atual do PA, com limites explícitos; não comprova que todas as ocorrências históricas foram tratadas","Fazer busca textual completa, justificar/substituir ocorrências residuais e materializar a tabela de condições de escopo"
T07,"2026-07-10_referee_feedback_revision_plan.md:107-117","Generalizar FWL para vetor de controles correlacionados","derivations/multivariate_specification_shift.Rmd; derivations/multivariate_specification_shift.pdf; derivations/scripts/test_multivariate_specification_shift.R","Rmd e script registram identidades conjunta, condicional e telescópica, correlação, dependência da ordem e leave-one-out com tolerância 1e-12; nenhum script foi executado agora","implemented_with_recorded_tests","Válida para a identidade descritiva e o exemplo determinístico documentado; não autoriza inferência causal nem nova simulação","Anexar a evidência de execução/revisão independente ao pacote de implementação e integrar proposição sem misturar papéis causais"
T08,"2026-07-10_referee_feedback_revision_plan.md:119-128","Definir alocação one-at-a-time, leave-one-out e Shapley","derivations/shift_allocation_correlated_controls.Rmd; derivations/shift_allocation_correlated_controls.pdf; derivations/scripts/shift_allocation_correlated_controls.R","Rmd/script registram soma Shapley, telescoping, invariância de nomes, dependência da ordem, one-at-a-time e LOO; não foi executado agora e não há CSV de resultado independente localizado","implemented_example_with_recorded_tests","Válida como algoritmo/exemplo mínimo; a decisão de dar destaque à Shapley segue aberta","Decidir se Shapley permanece no apêndice, persistir outputs de teste e revisar a conexão com o diagnóstico principal"
T09,"2026-07-10_referee_feedback_revision_plan.md:130-141","Construir inferência conjunta para Delta_Z","derivations/specification_shift_uncertainty.Rmd; derivations/specification_shift_uncertainty.pdf; derivations/scripts/specification_shift_uncertainty.R; derivations/scripts/test_specification_shift_uncertainty.R","Documentos descrevem painel fixo e igualdade da diferença direta; explicitamente registram ausência de bootstrap, IC, coverage e inferência aplicada; nenhum teste foi executado agora","machinery_only","Válida para a formulação preliminar e para localizar a lacuna; não sustenta CI(Delta) nem a métrica principal proposta","Implementar e validar bootstrap por unidade e delta method; preservar covariância conjunta e testar em DGPs simples antes de aplicar"
T10,"2026-07-10_referee_feedback_revision_plan.md:143-152","Inventariar DGPs e simulações existentes","quality_reports/simulation_design_inventory.csv; quality_reports/simulation_design_inventory.Rmd/pdf; quality_reports/simulation_design_inventory_manifest.csv; quality_reports/simulation_design_inventory_validation.csv; quality_reports/build_simulation_design_inventory.R; quality_reports/task12_boundary_conditions.csv","Manifesto/validation registram checagens estáticas de paths, hashes e parâmetros; `dual_role_varyT` é explicitamente output declarado ausente; esses PASS são históricos e não foram refeitos","implemented_inventory_with_missing_declared_output","Válida como mapa de proveniência e limites dos DGPs; não converte output ausente em evidência numérica","Atualizar o inventário após decisões dos gates, apontar cada número do manuscrito ao CSV correto e preservar a ausência de `dual_role_varyT`"
T11,"2026-07-10_referee_feedback_revision_plan.md:154-163","Refazer Figura 2 e tabela firewall a partir dos resultados brutos","quality_reports/task11_dual_role_firewall/build_task11_figure_firewall.R; quality_reports/task11_dual_role_firewall/figure_2_plot_data.csv; quality_reports/task11_dual_role_firewall/figure_2_dual_role_bias_rmse.{pdf,png}; quality_reports/task11_dual_role_firewall/table_firewall_mc.{csv,tex}; quality_reports/task11_dual_role_firewall/validation.csv; quality_reports/task11_dual_role_firewall/source_manifest.csv; quality_reports/task11_dual_role_firewall/task11_dual_role_firewall_appendix.{Rmd,pdf}","validation.csv registra 500 repetições, médias reproduzidas, diferenças de bias/MCSE próximas de zero e grade de 12 cenários; registros históricos, sem rerun agora","implemented_with_recorded_validation","Válida como pacote de resultado firewall e evidência MC; não é validação da nova integração no PA","Conferir integração na arquitetura atual, captions e distinção MC interval versus CI do estimador; revalidar após qualquer mudança de bytes"
